hotel,is_canceled,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,reservation_status,reservation_status_date,room_status,guest_type
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,01-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,01-07-2015,Desired,Couples
Resort Hotel,0,2015,July,1,0,0,GBR,A,C,Check-Out,02-07-2015,Un-Desired,Singal
Resort Hotel,0,2015,July,1,0,0,GBR,A,A,Check-Out,02-07-2015,Desired,Singal
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,06-05-2015,Desired,Couples
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,22-04-2015,Desired,Couples
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,23-06-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,USA,D,E,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,1,0,ESP,G,G,Check-Out,05-07-2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,D,E,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,A,E,Check-Out,02-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,FRA,A,G,Check-Out,02-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,GBR,G,G,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,2015,July,1,0,0,GBR,F,F,Check-Out,06-07-2015,Desired,Singal
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,GBR,D,I,Check-Out,01-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,D,D,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,11-05-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,0,2015,July,1,0,0,,A,A,Check-Out,15-07-2015,Desired,Singal
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,29-05-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,A,C,Check-Out,08-07-2015,Un-Desired,Couples
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,19-05-2015,Desired,Family
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,19-06-2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,3,0,0,PRT,D,D,Check-Out,06-07-2015,Desired,Family
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,23-05-2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ROU,E,E,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,1,2015,July,2,0,0,PRT,G,G,Canceled,18-05-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,D,D,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,ESP,F,F,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,ROU,E,E,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,1,2015,July,2,2,0,PRT,G,G,Canceled,02-06-2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,A,A,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,NOR,E,E,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,GBR,A,B,Check-Out,09-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,E,F,Check-Out,09-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,NOR,D,D,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,IRL,A,A,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,OMN,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,03-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,ARG,H,H,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,2,0,ESP,C,C,Check-Out,03-07-2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,H,H,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,A,D,Check-Out,03-07-2015,Un-Desired,Couples
Resort Hotel,0,2015,July,2,0,0,PRT,G,G,Check-Out,03-07-2015,Desired,Couples
